127.0.0.1 - - [28/Mar/2021:20:23:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:23:40 +0900] "GET /food_v1/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:23:42 +0900] "GET /food_v1/MemberLogin.me HTTP/1.1" 200 4097
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:23:42 +0900] "GET /food_v1/css/loginForm.css HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:23:42 +0900] "GET /food_v1/css/top.css HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:23:42 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:23:44 +0900] "GET /food_v1/Main.me HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:23:44 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:23:44 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:23:46 +0900] "GET /food_v1/MemberLogin.me HTTP/1.1" 200 4097
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:23:46 +0900] "GET /food_v1/css/loginForm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:23:46 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:23:46 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:50 +0900] "POST /food_v1/MemberLoginAction.me HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:51 +0900] "GET /food_v1/Main.me HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:51 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:51 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:56 +0900] "GET /food_v1/GoodsList.go HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:56 +0900] "GET /food_v1/upload/KakaoTalk_20210323_212253821.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:56 +0900] "GET /food_v1/upload/sushi1.JPG HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:56 +0900] "GET /food_v1/upload/jjamgbbongMain.JPG HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:56 +0900] "GET /food_v1/upload/omegaegg1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:56 +0900] "GET /food_v1/upload/jeonbock1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:56 +0900] "GET /food_v1/upload/gulbi1.JPG HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:56 +0900] "GET /food_v1/upload/gomujangghab1.JPG HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:56 +0900] "GET /food_v1/upload/kim1.JPG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:58 +0900] "GET /food_v1/MemberMyPageAction.me HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:58 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:58 +0900] "GET /food_v1/css/mypage.css HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:24:58 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:25:00 +0900] "GET /food_v1/GoodsAdd.ag HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:25:05 +0900] "GET /food_v1/BasketList.ba HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:25:11 +0900] "GET /food_v1/MemberUpdate.me HTTP/1.1" 200 4567
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:25:11 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:25:11 +0900] "GET /food_v1/css/memberUpdateForm.css HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:25:11 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:25:16 +0900] "GET /food_v1/OrderList.or HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:25:20 +0900] "GET /food_v1/OrderList.or HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:25:22 +0900] "GET /food_v1/OrderDetail.or?trade_num=20210326-8 HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:25:26 +0900] "GET /food_v1/OrderDetail.or?trade_num=20210326-5 HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:29:39 +0900] "GET /food_v1/MemberJoin.me HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:29:39 +0900] "GET /food_v1/css/memberInsertForm.css HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:29:39 +0900] "GET /food_v1/jscript/insertScript.js HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:29:39 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:29:39 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:30:28 +0900] "GET /food_v1/OrderList.or HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:30:29 +0900] "GET /food_v1/Main.me HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:30:29 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:30:29 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:30:31 +0900] "GET /food_v1/OrderList.or HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:30:44 +0900] "GET /food_v1/Main.me HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:30:44 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:30:44 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:30:46 +0900] "GET /food_v1/MemberLogout.me HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [28/Mar/2021:20:30:47 +0900] "GET /food_v1/Main.me HTTP/1.1" 200 2683
