127.0.0.1 - - [31/May/2021:19:59:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/cjkit/web/css/common.css?20200924090025 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/cjkit/web/css/goodResCSS/goodress_main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /cjkit/mobile/css/swiper.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /cjkit/web/js/libs/jquery-1.11.2.min.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/js/jquery/jquery.form.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/js/crew/form/form17e0.js?20200924090026 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/js/crew/crew17e0.js?20200924090026 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/js/cj17e0.js?20200924090026 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/js/oauth/kakao.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/js/oauth/naveridlogin_js_sdk_2.0.0.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/js/webtoolkit.base64.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /cjkit/web/js/libs/jquery-1.11.2.min.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /cjkit/mobile/css/swiper.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/js/jquery/jquery.form.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /cjkit/web/js/vcui17e0.js?20200924090026 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /cjkit/web/js/olivekitchen.site17e0.js?20200924090026 HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/js/oauth/kakao.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/js/jquery/jquery.lazy.min.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/js/makePCookie.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/js/oauth/naveridlogin_js_sdk_2.0.0.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/js/webtoolkit.base64.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/cjkit/web/images/cook_img/logoC.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/cjkit/web/images/cook_img/main2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/cjkit/web/images/cook_img/main3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/cjkit/web/images/cook_img/main4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/cjkit/web/images/cook_img/main1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/cjkit/web/images/cook_img/main5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /img.cjcookit.com/images/file/display/903/2021032209162639668b0.jpg?RS=1920x640 HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /img.cjcookit.com/images/file/display/563/2021022615410231468b0.jpg?RS=1920x640 HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/recipe_upload/%EC%83%9D%EA%B0%95%EA%B5%AC%EC%9D%B4.JPG HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/recipe_upload/%EC%83%9D%EA%B0%95%EA%B5%AC%EC%9D%B4%20%EC%9E%AC%EB%A3%8C3.JPG HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/recipe_upload/%EC%95%A0%EA%B3%A0%EC%B6%94%EB%AC%B4%EC%B9%A8%20%EC%9E%AC%EB%A3%8C.JPG HTTP/1.1" 404 904
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/intro_cookit_4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /food/cjkit/web/images/cook_img/logoD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /cjkit/web/js/vcui17e0.js?20200924090026 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [31/May/2021:20:00:01 +0900] "GET /cjkit/web/images/common/no_img_268x320.png HTTP/1.1" 404 865
