127.0.0.1 - - [30/Mar/2021:21:20:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:20:11 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:20:11 +0900] "GET /top.css HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:20:27 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:20:27 +0900] "GET /css/top.css HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:21:29 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:21:29 +0900] "GET /food_v1/css/top.css HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:21:29 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:22:24 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:22:24 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:22:24 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:24:07 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:24:07 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:24:07 +0900] "GET /food_v1/test.css HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:24:07 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:25:55 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 3254
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:25:55 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:25:55 +0900] "GET /food_v1/test.css HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:25:55 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:26:22 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 3254
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:26:22 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:26:22 +0900] "GET /food_v1/test.css HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:26:22 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:26:23 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 3254
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:26:23 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:26:23 +0900] "GET /food_v1/test.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:26:23 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:26:31 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 3254
