127.0.0.1 - - [13/Apr/2021:08:58:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:58:59 +0900] "GET /food_v4.0(mem_show_gr_re)/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /food_v4.0(mem_show_gr_re)/Main.me HTTP/1.1" 200 56289
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /food_v4.0(mem_show_gr_re)/cjkit/web/css/common.css?20200924090025 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /food_v4.0(mem_show_gr_re)/js/crew/crew17e0.js?20200924090026 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /food_v4.0(mem_show_gr_re)/js/crew/form/form17e0.js?20200924090026 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /food_v4.0(mem_show_gr_re)/cjkit/web/css/goodResCSS/goodress_main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /cjkit/mobile/css/swiper.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /food_v4.0(mem_show_gr_re)/js/jquery/jquery.form.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /cjkit/web/js/libs/jquery-1.11.2.min.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /food_v4.0(mem_show_gr_re)/js/cj17e0.js?20200924090026 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /food_v4.0(mem_show_gr_re)/js/oauth/naveridlogin_js_sdk_2.0.0.js HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /food_v4.0(mem_show_gr_re)/js/oauth/kakao.min.js HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /food_v4.0(mem_show_gr_re)/js/webtoolkit.base64.js HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /cjkit/web/js/olivekitchen.site17e0.js?20200924090026 HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /cjkit/web/js/vcui17e0.js?20200924090026 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Apr/2021:08:59:01 +0900] "GET /cjkit/web/js/libs/jquery-1.11.2.min.js HTTP/1.1" 404 861
