127.0.0.1 - - [13/Jun/2021:17:07:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/jquery/jquery.form.js HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /cjkit/web/js/libs/jquery-1.11.2.min.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/crew/form/form17e0.js?20200924090026 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/webtoolkit.base64.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/oauth/naveridlogin_js_sdk_2.0.0.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/crew/crew17e0.js?20200924090026 HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/cj17e0.js?20200924090026 HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/oauth/kakao.min.js HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /food/js/jquery/jquery-3.5.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /cjkit/web/js/vcui17e0.js?20200924090026 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /cjkit/web/js/olivekitchen.site17e0.js?20200924090026 HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/jquery/jquery.lazy.min.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/crew/crew17e0.js?20200924090026 HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/makePCookie.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/crew/form/form17e0.js?20200924090026 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/cj17e0.js?20200924090026 HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /fin.rainbownine.net/js/adn_shortcut_remarketing_1.0.1.js HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/oauth/kakao.min.js HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/oauth/naveridlogin_js_sdk_2.0.0.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /wcs.naver.net/wcslog.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/webtoolkit.base64.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /food/cjkit/web/images/cook_img/logoC.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /food/upload/12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /food/upload/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /food/cjkit/web/images/cook_img/logoD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /food/upload/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /food/upload/14.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /food/upload/jjamgbbong2.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /fin.rainbownine.net/js/adn_tags_2.1.3.js HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /cdn-aitg.widerplanet.com/js/wp_astg_4.0.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /cjkit/web/js/vcui17e0.js?20200924090026 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /cjkit/web/js/olivekitchen.site17e0.js?20200924090026 HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/jquery/jquery.lazy.min.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /js/makePCookie.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "POST /pc/myFpn/fpnViewMenu HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /fin.rainbownine.net/js/adn_shortcut_remarketing_1.0.1.js HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /fin.rainbownine.net/js/adn_tags_2.1.3.js HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /wcs.naver.net/wcslog.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /cdn.megadata.co.kr/dist/prod/enp_tracker_self_hosted.min.js HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /connect.facebook.net/en_US/fbevents.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:22 +0900] "GET /cdn-aitg.widerplanet.com/js/wp_astg_4.0.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/Main.me HTTP/1.1" 200 36660
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /cjkit/web/js/libs/jquery-1.11.2.min.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/cjkit/web/css/common.css?20200924090025 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/jquery/jquery.form.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /cjkit/mobile/css/swiper.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/cjkit/web/css/goodResCSS/goodress_main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/crew/crew17e0.js?20200924090026 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/cj17e0.js?20200924090026 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/crew/form/form17e0.js?20200924090026 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/oauth/naveridlogin_js_sdk_2.0.0.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/webtoolkit.base64.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/oauth/kakao.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /cjkit/web/js/vcui17e0.js?20200924090026 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /cjkit/mobile/css/swiper.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /cjkit/web/js/libs/jquery-1.11.2.min.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /cjkit/web/js/olivekitchen.site17e0.js?20200924090026 HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/jquery/jquery.form.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/jquery/jquery.lazy.min.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/makePCookie.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/oauth/kakao.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/cjkit/web/images/cook_img/main2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/oauth/naveridlogin_js_sdk_2.0.0.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/cjkit/web/images/cook_img/main1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/webtoolkit.base64.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/cjkit/web/images/cook_img/main3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/cjkit/web/images/cook_img/main4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/cjkit/web/images/cook_img/main5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /img.cjcookit.com/images/file/display/903/2021032209162639668b0.jpg?RS=1920x640 HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /img.cjcookit.com/images/file/display/563/2021022615410231468b0.jpg?RS=1920x640 HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/recipe_upload/%EA%B3%A0%EA%B5%AC%EB%A7%884.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/recipe_upload/%EC%83%88%EC%9A%B03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/recipe_upload/%EB%8C%80%ED%8C%A8%EC%82%BD%EA%B2%B9%EC%82%B44.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /cjkit/web/js/vcui17e0.js?20200924090026 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /cjkit/web/js/olivekitchen.site17e0.js?20200924090026 HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/jquery/jquery.lazy.min.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/intro_cookit_4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "POST /pc/myFpn/fpnViewMenu HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /food/js/makePCookie.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "GET /cjkit/web/images/common/no_img_268x320.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "POST /pc/main/personOrder.json HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "POST /pc/main/personCpn.json HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "POST /pc/main/getMainTopBrnList.json HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:26 +0900] "POST /pc/main/getEventPopList.json HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:27 +0900] "POST /pc/comm/jehuScript.json HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:27 +0900] "GET /food/MemberLogin.me HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:28 +0900] "GET /food/cjkit/web/images/cook_img/pop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:28 +0900] "GET /food/cjkit/web/css/memberCSS/popupLoginForm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "POST /food/MemberLoginAction.me HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /food/Main.me HTTP/1.1" 200 36744
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /cjkit/mobile/css/swiper.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /food/js/jquery/jquery.form.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /cjkit/web/js/libs/jquery-1.11.2.min.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /food/js/oauth/kakao.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /food/js/oauth/naveridlogin_js_sdk_2.0.0.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /food/js/webtoolkit.base64.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /food/js/jquery/jquery.form.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /cjkit/web/js/vcui17e0.js?20200924090026 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /food/js/oauth/kakao.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /food/js/oauth/naveridlogin_js_sdk_2.0.0.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /cjkit/web/js/olivekitchen.site17e0.js?20200924090026 HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /food/js/webtoolkit.base64.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /food/js/jquery/jquery.lazy.min.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /food/js/makePCookie.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /img.cjcookit.com/images/file/display/903/2021032209162639668b0.jpg?RS=1920x640 HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /img.cjcookit.com/images/file/display/563/2021022615410231468b0.jpg?RS=1920x640 HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /cjkit/web/images/common/no_img_268x320.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /cjkit/web/js/vcui17e0.js?20200924090026 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /cjkit/web/js/olivekitchen.site17e0.js?20200924090026 HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:31 +0900] "GET /food/js/jquery/jquery.lazy.min.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [13/Jun/2021:17:08:32 +0900] "GET /food/js/makePCookie.js HTTP/1.1" 404 837
